Date,Close,High,Low,Open,Volume,Code
,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,
2023-06-15,3146.7275390625,3177.203630862424,3140.5637680075815,3175.100233539827,2273810,TCS.NS
2023-06-16,3106.22265625,3130.1926891388935,3087.731583565242,3127.844699828289,4156189,TCS.NS
2023-06-19,3140.955078125,3145.3577376943713,3106.320918389773,3120.9964502876774,1468186,TCS.NS
2023-06-20,3157.88037109375,3162.576588277483,3131.8069427156447,3144.4767686693986,1528452,TCS.NS
2023-06-21,3187.72119140625,3190.8519238090857,3154.2120598483802,3179.698614980368,1645987,TCS.NS
2023-06-22,3168.447021484375,3196.966373424352,3160.22881998312,3189.4819484449786,1529603,TCS.NS
2023-06-23,3146.776611328125,3179.1115093466497,3139.732164822479,3167.2733900849407,1119505,TCS.NS
2023-06-26,3120.654052734375,3144.3794969353835,3104.3643072082355,3135.6721098652365,1978803,TCS.NS
2023-06-27,3128.18701171875,3140.22075469182,3113.462516173397,3132.736330271054,863542,TCS.NS
2023-06-28,3145.89599609375,3161.060712907856,3124.322915692735,3138.6071961066273,1575872,TCS.NS
2023-06-30,3230.818359375,3238.400717550534,3144.575245477112,3150.347525834658,2672406,TCS.NS
2023-07-03,3201.51611328125,3247.0102602256575,3198.0428564415397,3242.6076008439404,1687264,TCS.NS
2023-07-04,3237.275634765625,3243.2925072216217,3206.40805197023,3218.8332877101466,1656681,TCS.NS
2023-07-05,3248.135498046875,3256.9897835903407,3233.508932041477,3248.1844642595165,1453008,TCS.NS
2023-07-06,3251.021728515625,3256.4517233589336,3230.5739152680876,3235.025541269704,1848238,TCS.NS
2023-07-07,3257.234375,3284.2861771714965,3230.5738248103926,3230.5738248103926,1789326,TCS.NS
2023-07-10,3201.173583984375,3252.8315017594136,3194.569594921475,3252.8315017594136,1407431,TCS.NS
2023-07-11,3201.61376953125,3223.7249986011375,3190.264835461923,3223.7249986011375,1110172,TCS.NS
2023-07-12,3189.38427734375,3218.0015640417964,3179.796454426586,3209.978987850496,1515240,TCS.NS
2023-07-13,3268.289794921875,3294.6078189087675,3201.956345507489,3212.9629940101117,4585146,TCS.NS
2023-07-14,3438.623779296875,3448.6033320630395,3279.492190820148,3292.2109851162886,6306101,TCS.NS
2023-07-17,3416.17041015625,3473.111428527307,3401.8374022809307,3434.0746075916777,2743228,TCS.NS
2023-07-18,3421.208984375,3447.771601367246,3390.0478430015633,3400.8098996460126,2600090,TCS.NS
2023-07-19,3394.988525390625,3440.776230617777,3371.116184598227,3424.290621652569,2405370,TCS.NS
2023-07-20,3397.19580078125,3412.4978988117155,3370.4659234197393,3387.1905367842733,1715404,TCS.NS
2023-07-21,3304.009033203125,3369.3376899248406,3294.935588701718,3339.0766700599147,3770223,TCS.NS
2023-07-24,3329.9541015625,3348.2971250852347,3307.736519941008,3316.466549048623,1680132,TCS.NS
2023-07-25,3334.27001953125,3341.7741469750813,3315.681767797957,3332.651609023338,1272980,TCS.NS
2023-07-26,3323.627197265625,3355.5559597714414,3320.390136828414,3335.4472455011364,1066803,TCS.NS
2023-07-27,3332.063232421875,3346.531698991735,3320.439557205023,3330.150499991832,1701769,TCS.NS
2023-07-28,3291.35498046875,3328.923991654151,3267.420801998411,3320.390097497635,2599831,TCS.NS
2023-07-31,3356.144287109375,3361.2449861310747,3296.7499650065183,3300.1831600473693,2743678,TCS.NS
2023-08-01,3386.160400390625,3393.95860999433,3349.8175298065426,3349.8175298065426,1956167,TCS.NS
2023-08-02,3374.97802734375,3380.6182767756977,3348.4445237745363,3369.386871455176,1914899,TCS.NS
2023-08-03,3335.054931640625,3367.7193807245985,3303.7148108295196,3354.722284155866,2026351,TCS.NS
2023-08-04,3377.82275390625,3404.7487658262826,3336.330089244207,3336.330089244207,2248493,TCS.NS
2023-08-07,3417.5498046875,3421.4243629363136,3375.566682613128,3388.0242291577247,1853889,TCS.NS
2023-08-08,3404.3564453125,3423.336966455301,3390.6236645560653,3417.549676071651,1634225,TCS.NS
2023-08-09,3396.410888671875,3400.8249966860335,3359.6757487612945,3398.764983820485,1794589,TCS.NS
2023-08-10,3376.400390625,3398.7650131719925,3364.5803422777612,3384.149506746724,1096701,TCS.NS
2023-08-11,3382.97265625,3400.4818088556854,3348.8368374275333,3372.4769354992527,1679974,TCS.NS
2023-08-14,3384.002685546875,3389.0542915205356,3345.8941210930675,3375.0271882354677,1190425,TCS.NS
2023-08-16,3392.38916015625,3399.84419417002,3369.63202821836,3384.149587387931,1328445,TCS.NS
2023-08-17,3370.17138671875,3394.7433019618425,3348.051753646013,3389.053959430483,1843241,TCS.NS
2023-08-18,3302.831787109375,3344.912853016341,3292.4340149998093,3344.912853016341,2526749,TCS.NS
2023-08-21,3336.72216796875,3344.667658006893,3307.6381971696583,3310.58093577924,1375579,TCS.NS
2023-08-22,3317.594482421875,3345.893915494129,3300.8210154521385,3335.10387355029,1222012,TCS.NS
2023-08-23,3333.38720703125,3337.0656303451224,3311.5618953689395,3323.3328499733316,1330046,TCS.NS
2023-08-24,3323.087890625,3347.9050364866966,3313.6221763237,3342.9513781270753,1152881,TCS.NS
2023-08-25,3316.7607421875,3321.174850111763,3286.3033496139474,3310.580943197395,1158046,TCS.NS
2023-08-28,3311.12060546875,3329.218400675874,3295.9655489776037,3329.218400675874,1037485,TCS.NS
2023-08-29,3311.708740234375,3324.85311578533,3300.771658021609,3316.515356768039,944517,TCS.NS
2023-08-30,3326.226806640625,3343.0496078602146,3318.4776899258404,3333.1422910145925,1188200,TCS.NS
2023-08-31,3292.728271484375,3352.171445941063,3279.8291239410537,3336.084571146212,3417652,TCS.NS
2023-09-01,3314.700927734375,3324.3139223519806,3292.7285738775877,3301.7529249444574,1277950,TCS.NS
2023-09-04,3353.25048828125,3367.326683095556,3305.7253098625597,3313.523518915917,1828332,TCS.NS
2023-09-05,3363.89404296875,3381.207061372353,3340.1557571325984,3354.7224107610814,1501842,TCS.NS
2023-09-06,3364.4326171875,3378.1653959803853,3333.239782656758,3368.4544553405362,1314818,TCS.NS
2023-09-07,3389.299072265625,3393.9584082306815,3356.9780422567883,3365.3158013521524,1885092,TCS.NS
2023-09-08,3376.203857421875,3398.863040148469,3369.4847480583285,3389.299139819047,1518917,TCS.NS
2023-09-11,3414.214599609375,3419.1682579552244,3379.245148365594,3395.9206686913462,1783604,TCS.NS
2023-09-12,3512.453125,3521.3792891203507,3416.5197909832286,3425.3480074973972,4476016,TCS.NS
2023-09-13,3499.750244140625,3520.3494153824977,3477.336288211358,3502.9382111185337,1754929,TCS.NS
2023-09-14,3492.09912109375,3529.030397081612,3477.924977164576,3501.908250384624,2604721,TCS.NS
2023-09-15,3529.618896484375,3538.496206026213,3494.4530736204592,3499.75014690962,2952897,TCS.NS
2023-09-18,3537.319091796875,3550.218240606211,3507.00897783734,3511.7174078308485,1395753,TCS.NS
2023-09-20,3537.22119140625,3555.8094439134643,3511.6683611614353,3511.6683611614353,1649396,TCS.NS
2023-09-21,3516.866943359375,3536.190878906919,3460.6605882894896,3520.0549101711495,2004073,TCS.NS
2023-09-22,3534.866455078125,3564.3920273126682,3497.003363196039,3515.5916135916345,1989083,TCS.NS
2023-09-25,3508.872314453125,3550.9045259741224,3490.725426682263,3533.738551055739,1238778,TCS.NS
2023-09-26,3517.25927734375,3526.3327215132203,3468.507954945545,3499.5048978464947,1726062,TCS.NS
2023-09-27,3520.79052734375,3545.0190267527596,3487.831759913712,3521.4771184400684,1541134,TCS.NS
2023-09-28,3469.243896484375,3534.033245112202,3460.0234104919796,3531.286640939775,1755753,TCS.NS
2023-09-29,3461.249267578125,3500.338501970446,3438.6391779063088,3469.684974617301,2243791,TCS.NS
2023-10-03,3446.781005859375,3466.7424403600844,3413.6751943663503,3466.7424403600844,1948148,TCS.NS
2023-10-04,3470.224609375,3480.278966592467,3410.9284725105645,3419.75668860395,1788138,TCS.NS
2023-10-05,3520.840087890625,3554.8286267330827,3483.418114149809,3486.164718380071,2990768,TCS.NS
2023-10-06,3552.27783203125,3565.569249541903,3506.8126634220357,3522.4581760684473,2075691,TCS.NS
2023-10-09,3568.904541015625,3608.778554558166,3561.6947354174235,3575.476609541216,4233074,TCS.NS
2023-10-10,3559.635009765625,3578.370543436096,3532.6110488086165,3570.5723331578088,1848148,TCS.NS
2023-10-11,3540.99755859375,3580.332263638608,3536.191180936214,3580.332263638608,2426417,TCS.NS
2023-10-12,3474.933349609375,3520.153294616657,3470.568334713849,3506.7639281378692,4241281,TCS.NS
2023-10-13,3502.693115234375,3508.725634105149,3457.718160531353,3462.6227252980643,2890357,TCS.NS
2023-10-16,3456.786376953125,3506.4204292183026,3451.930905679892,3497.935627876224,1671104,TCS.NS
2023-10-17,3440.110595703125,3466.69319131001,3436.4812659094987,3462.6224986124143,1672065,TCS.NS
2023-10-18,3420.688232421875,3455.4615440036555,3417.500265756058,3443.984911902847,1408245,TCS.NS
2023-10-19,3398.462646484375,3419.3120015706177,3394.774704914926,3412.0835400543524,1514545,TCS.NS
2023-10-20,3436.71875,3441.586784443997,3387.054474356502,3393.29924416434,1481211,TCS.NS
2023-10-23,3353.71533203125,3421.37680885982,3345.0119347403615,3415.5253234291526,1106272,TCS.NS
2023-10-25,3333.997314453125,3368.319658141201,3321.310652556418,3334.39059881102,1518537,TCS.NS
2023-10-26,3281.52978515625,3317.8682478311816,3274.891491592212,3312.3118462954835,1984471,TCS.NS
2023-10-27,3295.4951171875,3306.3622988787793,3281.776023604547,3294.560886747148,1108851,TCS.NS
2023-10-30,3322.638427734375,3326.867315059107,3278.5797748657174,3294.5608536333416,910972,TCS.NS
2023-10-31,3313.00048828125,3342.749880420918,3294.610002978613,3342.749880420918,999811,TCS.NS
2023-11-01,3275.531005859375,3315.803516743122,3256.2062895798977,3299.478133959697,1563475,TCS.NS
2023-11-02,3304.493896484375,3320.0814512239162,3287.8734300446213,3287.8734300446213,1245384,TCS.NS
2023-11-03,3295.446044921875,3331.833733965295,3288.9554120175862,3326.031468779594,1402598,TCS.NS
2023-11-06,3324.310546875,3336.161180529225,3303.4122112131126,3319.1474286526513,1099852,TCS.NS
2023-11-07,3314.67236328125,3347.8146138447105,3310.2960543666977,3322.0974663252246,1191144,TCS.NS
2023-11-08,3325.5888671875,3345.6511720910153,3313.787454867703,3315.6559157781985,992899,TCS.NS
2023-11-09,3292.052978515625,3335.374042777578,3286.7424391935324,3333.9973074275063,2112352,TCS.NS
2023-11-10,3278.284912109375,3292.0532270508957,3267.3687493230987,3282.759662485441,1338557,TCS.NS
2023-11-13,3276.41650390625,3300.4618348678578,3271.941753458094,3300.4618348678578,1030990,TCS.NS
2023-11-15,3347.962646484375,3356.5186230821787,3300.5111306438494,3327.1135310677823,2059802,TCS.NS
2023-11-16,3439.96435546875,3470.9430635814483,3357.698530975928,3373.2863261775383,3951984,TCS.NS
2023-11-17,3444.488037109375,3466.1731804990022,3434.751967881551,3439.9643063986123,2021292,TCS.NS
2023-11-20,3461.354248046875,3475.417405317009,3433.473316056803,3433.473316056803,1475621,TCS.NS
2023-11-21,3452.109375,3480.4820301120135,3443.0616745465345,3461.3539577179304,1807236,TCS.NS
2023-11-22,3471.7294921875,3474.1881197162365,3423.491412153966,3442.0785402310757,1798051,TCS.NS
2023-11-23,3450.192138671875,3485.3505136330436,3442.07866752699,3471.5821989629358,2729804,TCS.NS
2023-11-24,3399.888427734375,3446.553128011694,3395.856182737039,3436.4235350503614,1989733,TCS.NS
2023-11-28,3412.722412109375,3423.6388143150843,3376.187303280053,3399.8885685625582,1689195,TCS.NS
2023-11-29,3455.60107421875,3459.780741117485,3418.279155460705,3423.3930528226165,1441634,TCS.NS
2023-11-30,3429.8837890625,3458.4528484108027,3423.392916449951,3441.5375393027643,3266235,TCS.NS
2023-12-01,3453.53564453125,3458.747982906288,3432.2932467674304,3442.078536300559,1172141,TCS.NS
2023-12-04,3454.322265625,3489.0873529923697,3440.1114473175253,3485.9893384178627,1625213,TCS.NS
2023-12-05,3473.15576171875,3479.4497522853444,3444.8323239683755,3479.4497522853444,1377656,TCS.NS
2023-12-06,3544.4560546875,3553.0612514462373,3466.812401566953,3474.139304030391,1896572,TCS.NS
2023-12-07,3555.0771484375,3570.468301619979,3532.2611318162585,3545.3410789625996,1967653,TCS.NS
2023-12-08,3566.681884765625,3584.679087049897,3542.4399123569933,3572.8776744176344,1641155,TCS.NS
2023-12-11,3582.61376953125,3592.5467212748904,3555.1755810043055,3562.9447483362055,1102503,TCS.NS
2023-12-12,3611.33056640625,3637.1951360074713,3570.9106336699306,3578.729021215181,2236866,TCS.NS
2023-12-13,3534.080810546875,3589.5965780976535,3504.036330893682,3583.2533664112266,3850968,TCS.NS
2023-12-14,3606.560546875,3617.1326447354963,3567.5668122017664,3569.9269984746743,3290396,TCS.NS
2023-12-15,3797.104248046875,3831.475811906952,3606.019673894845,3606.019673894845,8531230,TCS.NS
